old_index,old_dimtag,new_dimtag,old_entity_name,old_group_name,old_group_dimtag
0,"(2, 1)","(2, 19)",Study_Volume_Outer_Wall,['Study_Volume_Outer_Wall'],"[(2, 10)]"
3,"(2, 2)","(2, 21)",Study_Volume_Exit_Wall,['Study_Volume_Exit_Wall'],"[(2, 12)]"
4,"(2, 3)","(2, 16)",Study_Volume_Inner_Wall,['Study_Volume_Inner_Wall'],"[(2, 14)]"
5,"(2, 4)","(2, 15)",Study_Volume_Initial_Wall,['Study_Volume_Initial_Wall'],"[(2, 8)]"
1,"(2, 5)","(2, 14)",Study_Volume_Revolved_Wall,['Study_Volume_Revolved_Wall'],"[(2, 16)]"
9,"(2, 8)","(2, 8)",Cooling_Channel_1_Outer_Wall,['Cooling_Channel_1_Outer_Wall'],"[(2, 22)]"
8,"(2, 9)","(2, 9)",Cooling_Channel_1_Exit_Wall,['Cooling_Channel_1_Exit_Wall'],"[(2, 21)]"
11,"(2, 10)","(2, 10)",Cooling_Channel_1_Inner_Wall,['Cooling_Channel_1_Inner_Wall'],"[(2, 24)]"
7,"(2, 11)","(2, 11)",Cooling_Channel_1_Entry_Wall,['Cooling_Channel_1_Entry_Wall'],"[(2, 20)]"
10,"(2, 12)","(2, 12)",Cooling_Channel_1_Initial_Wall,['Cooling_Channel_1_Initial_Wall'],"[(2, 23)]"
12,"(2, 13)","(2, 13)",Cooling_Channel_1_Revolved_Wall,['Cooling_Channel_1_Revolved_Wall'],"[(2, 25)]"
2,"(3, 1)","(3, 1)",Study_Volume_Volume,['Study_Volume_Volume'],"[(3, 18)]"
6,"(3, 2)","(3, 2)",Cooling_Channel_1_Volume,['Cooling_Channel_1_Volume'],"[(3, 19)]"
