,"(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)"
"(2, 3)",0.004654502995448937,0.014178397697571971,0.4887499717323067,0.21003485321159707,0.4803477361729801,0.005815285198309074
"(2, 4)",0.5158656618716059,0.5061979939174259,0.03190091091238947,0.7302647808197106,1.0,0.5166449431911558
"(2, 5)",0.005234577775318099,0.014708370360603153,0.4892724340823179,0.20948969109957596,0.4801040044031673,0.0043670707658356395
"(2, 6)",0.5166769777765761,0.5263135978618466,0.9999964473017694,0.30402181303726183,0.03190090141959968,0.5161694477826697
"(2, 7)",0.013420086816050072,0.023089059891492486,0.49770548597845166,0.20106721285871898,0.47151842279735573,0.01308453546966051
"(2, 8)",0.013372234815387449,0.023033348853048544,0.4977041949466666,0.20106721285872295,0.471517062042525,0.013035456693205848
"(2, 9)",0.11369276920808945,0.11286818064379216,0.4824859327791517,0.25652939641008576,0.5033210201126411,0.11686472633075815
"(2, 10)",0.485780566334128,0.49515984858192197,0.9622766635202817,0.2842049479054181,0.08176645441157213,0.48579593961953177
"(2, 11)",0.4804670500974061,0.4708107214136824,0.030766117911642455,0.6945171835465768,0.9652541510977364,0.48108168333619244
"(2, 12)",0.0129324245293319,0.016597974807844747,0.485145902796237,0.21428358710408202,0.48329235889970135,0.016013021054217147
"(2, 13)",0.014049337814559467,0.01735266297568582,0.4852084701543446,0.2143325780899224,0.483308912705412,0.016890371681285373
